"FORMAL","ESTRATO","DEPARTAMENTO","SEXO","ESTADO_CIVIL","TRAB_VEN","EDAD","HORAS_TRAB_SEM","INGRESO_D","INGRESO_E"
"No","Medio bajo","ICA","Hombre","Conviviente","Sí",25,45,300,0
"No","Medio bajo","ICA","Mujer","Conviviente","Sí",27,62,120,0
NA,"Medio bajo","ICA","Mujer","Separado","No",52,96,NA,NA
NA,"Medio bajo","ICA","Hombre","Soltero/a","No",17,71,NA,NA
"No","Medio bajo","ICA","Hombre","Conviviente","Sí",27,41,70,0
"No","Medio bajo","ICA","Hombre","Conviviente","Sí",28,46,500,0
NA,"Medio bajo","ICA","Mujer","Conviviente","Sí",32,62,NA,NA
"No","Medio bajo","ICA","Hombre","Separado","Sí",24,46,500,0
"Sí","Medio bajo","ICA","Hombre","Soltero/a","Sí",37,72,300,60
NA,"Medio","ICA","Mujer","Conviviente","Sí",44,54,NA,NA
NA,"Medio","ICA","Hombre","Conviviente","Sí",41,70,NA,NA
"No","Medio","ICA","Hombre","Conviviente","No",20,56,30,20
"No","Medio","ICA","Mujer","Soltero/a","Sí",30,54,40,15
"No","Medio","ICA","Mujer","Conviviente","No",31,77,45,15
"No","Medio","ICA","Hombre","Separado","No",37,48,350,0
"No","Medio","ICA","Hombre","Conviviente","Sí",38,70,45,15
"No","Medio","ICA","Mujer","Separado","Sí",37,72,300,60
"No","Medio","ICA","Mujer","Separado","Sí",36,77,50,15
"Sí","Bajo","ICA","Hombre","Conviviente","Sí",29,60,320,0
"No","Bajo","ICA","Mujer","Conviviente","Sí",31,35,120,0
"Sí","Bajo","ICA","Hombre","Casado/a","Sí",34,72,1100,500
NA,"Bajo","ICA","Mujer","Casado/a","No",29,24,NA,NA
"No","Bajo","ICA","Hombre","Conviviente","No",20,65,300,0
"Sí","Bajo","ICA","Hombre","Divorciado/a","Sí",41,72,885,0
"No","Medio","ICA","Hombre","Conviviente","Sí",25,54,500,120
"Sí","Bajo","ICA","Hombre","Soltero/a","Sí",28,42,163,0
"No","Bajo","ICA","Hombre","Conviviente","Sí",30,24,720,0
"No","Bajo","ICA","Hombre","Conviviente","Sí",36,60,390,60
NA,"Bajo","ICA","Mujer","Conviviente","Sí",25,16,NA,NA
NA,"Bajo","ICA","Hombre","Soltero/a","Sí",41,56,NA,NA
NA,"Bajo","ICA","Hombre","Divorciado/a","Sí",40,20,NA,NA
NA,"Bajo","ICA","Hombre","Conviviente","Sí",32,70,NA,NA
NA,"Bajo","ICA","Hombre","Conviviente","Sí",27,77,NA,NA
"No","Bajo","ICA","Mujer","Conviviente","Sí",24,60,450,0
"No","Medio","ICA","Hombre","Conviviente","Sí",21,50,400,0
NA,"Medio","ICA","Hombre","Conviviente","Sí",22,20,NA,NA
"No","Medio","ICA","Hombre","Soltero/a","Sí",28,48,550,0
NA,"Medio","ICA","Hombre","Soltero/a","Sí",46,56,NA,NA
"No","Medio","ICA","Mujer","Separado","Sí",45,35,150,25
"No","Medio","ICA","Mujer","Viudo/a","Sí",25,14,40,10
"No","Medio","ICA","Hombre","Conviviente","No",22,54,400,0
"No","Medio","ICA","Hombre","Soltero/a","Sí",28,60,300,60
"No","Medio","ICA","Mujer","Conviviente","No",27,49,25,15
"Sí","Medio","ICA","Hombre","Conviviente","Sí",28,58,400,0
"Sí","Bajo","ICA","Mujer","Casado/a","Sí",47,48,1200,0
"Sí","Bajo","ICA","Hombre","Casado/a","Sí",47,70,400,0
"Sí","Bajo","ICA","Hombre","Soltero/a","No",18,66,350,0
"No","Bajo","ICA","Hombre","Conviviente","Sí",38,48,300,60
"No","Bajo","ICA","Mujer","Conviviente","Sí",29,8,50,12
NA,"Bajo","ICA","Hombre","Casado/a","Sí",47,60,NA,NA
NA,"Bajo","ICA","Mujer","Casado/a","Sí",48,16,NA,NA
"No","Bajo","ICA","Mujer","Soltero/a","Sí",24,60,240,60
"No","Bajo","ICA","Hombre","Soltero/a","Sí",32,45,330,5
NA,"Bajo","ICA","Hombre","Casado/a","Sí",32,68,NA,NA
"No","Bajo","ICA","Mujer","Separado","Sí",44,40,250,40
"No","Bajo","ICA","Hombre","Soltero/a","Sí",28,62,400,0
NA,"Medio bajo","ICA","Hombre","Conviviente","Sí",37,78,NA,NA
"No","Medio bajo","ICA","Hombre","Conviviente","Sí",37,72,100,0
"No","Medio bajo","ICA","Mujer","Conviviente","No",35,49,50,15
"No","Medio bajo","ICA","Hombre","Conviviente","Sí",30,48,1200,0
"Sí","Medio bajo","ICA","Mujer","Conviviente","Sí",30,48,360,60
"No","Medio bajo","ICA","Hombre","Conviviente","Sí",25,69,30,0
"Sí","Medio bajo","ICA","Hombre","Casado/a","Sí",30,72,280,0
NA,"Medio bajo","ICA","Mujer","Casado/a","Sí",30,9,NA,NA
"No","Medio bajo","ICA","Hombre","Conviviente","Sí",42,72,360,60
NA,"Medio bajo","ICA","Mujer","Conviviente","Sí",37,15,NA,NA
"No","Medio bajo","ICA","Mujer","Soltero/a","Sí",50,55,1050,350
NA,"Medio bajo","ICA","Mujer","Separado","Sí",32,30,NA,NA
NA,"Medio bajo","ICA","Mujer","Separado","Sí",54,35,NA,NA
"No","Medio bajo","ICA","Mujer","Conviviente","Sí",25,48,465,0
NA,"Medio bajo","ICA","Mujer","Separado","Sí",33,36,NA,NA
"Sí","Medio bajo","ICA","Hombre","Casado/a","Sí",36,56,1443,65
NA,"Medio bajo","ICA","Mujer","Casado/a","No",34,70,NA,NA
NA,"Medio bajo","ICA","Hombre","Soltero/a","Sí",31,98,NA,NA
"No","Medio bajo","ICA","Hombre","Soltero/a","Sí",23,102,465,140
"No","Medio bajo","ICA","Hombre","Conviviente","Sí",25,45,420,0
NA,"Medio bajo","ICA","Hombre","Soltero/a","No",26,70,NA,NA
NA,"Medio bajo","ICA","Hombre","Soltero/a","Sí",28,84,NA,NA
"No","Medio bajo","ICA","Hombre","Soltero/a","Sí",27,38,180,72
"No","Medio bajo","ICA","Hombre","Soltero/a","Sí",22,72,360,150
"No","Medio bajo","ICA","Hombre","Soltero/a","Sí",34,42,40,10
NA,"Medio bajo","ICA","Hombre","Casado/a","Sí",43,69,NA,NA
"No","Medio bajo","ICA","Mujer","Casado/a","No",41,15,300,0
"No","Medio bajo","ICA","Hombre","Soltero/a","No",22,54,280,60
NA,"Medio bajo","ICA","Mujer","Conviviente","Sí",48,54,NA,NA
NA,"Medio bajo","ICA","Hombre","Conviviente","Sí",53,66,NA,NA
NA,"Medio bajo","ICA","Hombre","Soltero/a","No",19,30,NA,NA
NA,"Medio bajo","ICA","Hombre","Soltero/a","No",17,30,NA,NA
NA,"Medio bajo","ICA","Hombre","Separado","Sí",45,48,NA,NA
"Sí","Medio bajo","ICA","Mujer","Separado","Sí",57,60,450,0
NA,"Medio bajo","ICA","Hombre","Conviviente","Sí",38,72,NA,NA
"Sí","Medio bajo","ICA","Mujer","Conviviente","Sí",34,54,40,0
"Sí","Medio bajo","ICA","Mujer","Soltero/a","No",19,45,40,10
NA,"Medio bajo","ICA","Hombre","Conviviente","Sí",32,72,NA,NA
NA,"Medio bajo","ICA","Mujer","Conviviente","Sí",30,0,NA,NA
"Sí","Medio bajo","ICA","Mujer","Conviviente","No",33,48,250,0
"Sí","Medio","ICA","Hombre","Conviviente","Sí",38,24,80,10
"No","Alto","ICA","Hombre","Conviviente","Sí",25,48,40,0
"No","Alto","ICA","Hombre","Conviviente","Sí",26,66,300,0
"No","Alto","ICA","Mujer","Conviviente","Sí",31,72,240,0
"No","Alto","ICA","Hombre","Soltero/a","Sí",25,66,50,0
"No","Alto","ICA","Hombre","Separado","Sí",23,68,50,0
"No","Alto","ICA","Mujer","Conviviente","No",21,54,200,30
"No","Alto","ICA","Hombre","Casado/a","No",50,6,60,0
"No","Medio","ICA","Mujer","Separado","Sí",34,66,350,0
"No","Medio","ICA","Hombre","Soltero/a","No",16,6,50,0
"No","Medio","ICA","Hombre","Conviviente","Sí",24,72,700,0
"No","Medio","ICA","Hombre","Soltero/a","Sí",41,60,800,0
"No","Medio","ICA","Hombre","Soltero/a","Sí",30,72,700,0
"No","Medio","ICA","Hombre","Soltero/a","No",19,72,700,0
"No","Medio","ICA","Hombre","Soltero/a","Sí",26,72,700,0
NA,"Medio","ICA","Mujer","Separado","Sí",40,0,NA,NA
"No","Medio","ICA","Hombre","Soltero/a","No",15,40,130,0
"No","Medio","ICA","Hombre","Soltero/a","Sí",29,35,410,0
"Sí","Medio","ICA","Mujer","Soltero/a","Sí",26,66,600,0
"No","Medio","ICA","Hombre","Soltero/a","Sí",37,48,480,0
"No","Medio","ICA","Hombre","Casado/a","Sí",35,60,400,0
"Sí","Medio","ICA","Mujer","Casado/a","No",25,48,950,0
"Sí","Medio","ICA","Mujer","Conviviente","Sí",44,48,342,0
"No","Medio alto","ICA","Hombre","Soltero/a","Sí",25,43,350,0
"No","Medio","ICA","Hombre","Conviviente","Sí",26,3,100,0
"No","Medio","ICA","Mujer","Conviviente","No",24,20,28,0
"Sí","Medio alto","ICA","Hombre","Conviviente","Sí",35,48,460,0
"Sí","Medio alto","ICA","Mujer","Conviviente","Sí",28,48,320,0
"No","Medio alto","ICA","Hombre","Soltero/a","No",18,63,40,0
NA,"Medio alto","ICA","Hombre","Conviviente","Sí",23,70,NA,NA
"No","Medio alto","ICA","Hombre","Conviviente","Sí",24,78,100,0
"No","Medio","ICA","Hombre","Conviviente","Sí",39,72,360,0
NA,"Medio","ICA","Mujer","Conviviente","No",27,72,NA,NA
"No","Medio","ICA","Hombre","Conviviente","Sí",37,48,380,0
"No","Medio","ICA","Hombre","Soltero/a","Sí",19,66,300,0
NA,"Medio","ICA","Hombre","Conviviente","Sí",24,84,NA,NA
"No","Medio bajo","ICA","Hombre","Conviviente","No",30,48,80,0
"No","Medio bajo","ICA","Mujer","Conviviente","No",26,48,550,0
"No","Medio","ICA","Mujer","Conviviente","No",40,48,200,30
"No","Medio","ICA","Hombre","Conviviente","Sí",27,66,60,0
"No","Medio","ICA","Hombre","Separado","Sí",22,70,60,0
"No","Medio","ICA","Hombre","Conviviente","Sí",28,48,210,60
"No","Medio","ICA","Hombre","Conviviente","Sí",27,60,250,60
"No","Medio","ICA","Hombre","Conviviente","Sí",23,53,540,45
NA,"Medio","ICA","Hombre","Conviviente","Sí",23,7,NA,NA
"No","Medio","ICA","Mujer","Conviviente","No",20,66,600,180
"No","Medio","ICA","Hombre","Conviviente","Sí",25,38,350,40
"No","Medio bajo","ICA","Hombre","Conviviente","Sí",37,55,500,0
NA,"Medio bajo","ICA","Mujer","Conviviente","Sí",34,1,NA,NA
"Sí","Medio bajo","ICA","Hombre","Conviviente","Sí",23,56,420,0
"No","Medio bajo","ICA","Mujer","Conviviente","No",26,62,240,60
"No","Medio bajo","ICA","Hombre","Conviviente","Sí",25,54,360,48
"No","Medio bajo","ICA","Hombre","Conviviente","No",64,41,540,60
"Sí","Medio bajo","ICA","Mujer","Conviviente","Sí",44,10,350,0
"No","Medio bajo","ICA","Hombre","Soltero/a","Sí",25,53,360,45
NA,"Medio bajo","ICA","Hombre","Casado/a","Sí",25,28,NA,NA
"No","Medio bajo","ICA","Mujer","Soltero/a","Sí",25,54,300,60
NA,"Medio","ICA","Hombre","Conviviente","Sí",56,66,NA,NA
"No","Medio","ICA","Hombre","Soltero/a","Sí",23,20,110,0
"No","Medio","ICA","Hombre","Soltero/a","No",20,8,60,0
NA,"Medio","ICA","Mujer","Soltero/a","Sí",36,63,NA,NA
"No","Medio","ICA","Hombre","Conviviente","Sí",35,48,300,60
"No","Medio","ICA","Mujer","Conviviente","Sí",38,60,800,240
"No","Medio","ICA","Hombre","Separado","No",34,44,300,0
NA,"Medio","ICA","Hombre","Conviviente","Sí",37,52,NA,NA
"No","Medio","ICA","Mujer","Conviviente","Sí",33,78,240,60
"No","Medio","ICA","Hombre","Soltero/a","Sí",17,52,360,60
NA,"Medio","ICA","Hombre","Soltero/a","Sí",33,54,NA,NA
NA,"Medio","ICA","Mujer","Casado/a","Sí",35,18,NA,NA
"No","Medio","ICA","Hombre","Casado/a","Sí",37,46,700,0
"No","Medio alto","ICA","Hombre","Soltero/a","Sí",19,30,180,30
NA,"Medio alto","ICA","Hombre","Conviviente","Sí",30,56,NA,NA
"No","Medio alto","ICA","Hombre","Separado","No",57,48,500,0
"No","Medio alto","ICA","Hombre","Casado/a","Sí",34,57,50,15
NA,"Medio alto","ICA","Hombre","Casado/a","Sí",54,70,NA,NA
"No","Medio alto","ICA","Mujer","Conviviente","Sí",36,105,NA,NA
"No","Medio alto","ICA","Hombre","Conviviente","Sí",40,60,300,60
"No","Medio alto","ICA","Hombre","Soltero/a","No",17,54,400,60
"No","Medio alto","ICA","Hombre","Conviviente","Sí",43,48,70,20
"No","Medio alto","ICA","Hombre","Soltero/a","No",18,44,420,18
NA,"Medio alto","ICA","Hombre","Soltero/a","No",28,56,NA,NA
NA,"Medio alto","ICA","Hombre","Conviviente","Sí",25,52,NA,NA
NA,"Medio alto","ICA","Mujer","Conviviente","No",25,12,NA,NA
"No","Medio","ICA","Hombre","Conviviente","Sí",28,12,20,0
NA,"Medio alto","ICA","Hombre","Conviviente","Sí",24,55,NA,NA
NA,"Medio alto","ICA","Mujer","Conviviente","Sí",26,30,NA,NA
"No","Medio alto","ICA","Hombre","Conviviente","Sí",35,54,350,0
"No","Medio alto","ICA","Mujer","Conviviente","No",24,30,300,0
NA,"Medio","ICA","Hombre","Conviviente","Sí",24,50,NA,NA
NA,"Medio","ICA","Mujer","Conviviente","No",21,30,NA,NA
NA,"Medio","ICA","Hombre","Conviviente","Sí",29,66,NA,NA
NA,"Medio","ICA","Mujer","Conviviente","No",23,40,NA,NA
NA,"Medio","ICA","Hombre","Casado/a","Sí",51,39,NA,NA
"Sí","Medio alto","ICA","Mujer","Casado/a","Sí",29,56,530,0
"No","Medio alto","ICA","Hombre","Conviviente","Sí",35,58,440,0
NA,"Medio alto","ICA","Mujer","Conviviente","Sí",25,25,NA,NA
"No","Alto","LA LIBERTAD","Mujer","Casado/a","Sí",35,49,150,0
"No","Alto","LA LIBERTAD","Hombre","Casado/a","Sí",37,48,300,0
NA,"Alto","LA LIBERTAD","Hombre","Soltero/a","No",15,15,NA,NA
"No","Alto","LA LIBERTAD","Hombre","Conviviente","Sí",23,20,160,0
NA,"Medio alto","LA LIBERTAD","Hombre","Conviviente","Sí",27,72,NA,NA
NA,"Medio alto","LA LIBERTAD","Hombre","Conviviente","Sí",37,95,NA,NA
NA,"Medio alto","LA LIBERTAD","Hombre","Conviviente","Sí",28,78,NA,NA
NA,"Medio alto","LA LIBERTAD","Mujer","Conviviente","Sí",34,6,NA,NA
NA,"Medio alto","LA LIBERTAD","Hombre","Conviviente","Sí",35,84,NA,NA
NA,"Medio alto","LA LIBERTAD","Hombre","Soltero/a","Sí",28,84,NA,NA
NA,"Bajo","LA LIBERTAD","Hombre","Conviviente","Sí",39,40,NA,NA
"Sí","Bajo","LA LIBERTAD","Mujer","Casado/a","Sí",50,24,3000,0
NA,"Bajo","LA LIBERTAD","Hombre","Conviviente","Sí",24,37,NA,NA
"No","Bajo","LA LIBERTAD","Mujer","Conviviente","Sí",24,0,465,0
NA,"Bajo","LA LIBERTAD","Hombre","Conviviente","Sí",22,30,NA,NA
NA,"Bajo","LA LIBERTAD","Hombre","Soltero/a","No",24,48,NA,NA
"Sí","Bajo","LA LIBERTAD","Hombre","Conviviente","Sí",37,45,600,0
"No","Bajo","LA LIBERTAD","Mujer","Conviviente","Sí",35,24,1530,0
"No","Medio","LA LIBERTAD","Mujer","Conviviente","Sí",21,0,100,0
"No","Medio","LA LIBERTAD","Hombre","Conviviente","Sí",28,8,70,0
NA,"Medio","LA LIBERTAD","Hombre","Soltero/a","Sí",34,72,NA,NA
NA,"Medio","LA LIBERTAD","Hombre","Conviviente","Sí",30,84,NA,NA
NA,"Medio","LA LIBERTAD","Mujer","Conviviente","Sí",37,48,NA,NA
"No","Medio","LA LIBERTAD","Hombre","Soltero/a","No",16,14,280,0
"No","Medio","LA LIBERTAD","Mujer","Soltero/a","Sí",27,60,200,48
NA,"Medio","LA LIBERTAD","Hombre","Conviviente","Sí",40,54,NA,NA
"No","Medio","LA LIBERTAD","Mujer","Conviviente","Sí",43,48,700,0
"No","Medio","LA LIBERTAD","Mujer","Conviviente","Sí",29,54,25,36
"No","Medio","LA LIBERTAD","Mujer","Conviviente","Sí",31,72,450,0
NA,"Medio","LA LIBERTAD","Hombre","Conviviente","Sí",43,60,NA,NA
"No","Medio","LA LIBERTAD","Hombre","Conviviente","Sí",62,66,380,42
"No","Medio","LA LIBERTAD","Mujer","Conviviente","Sí",54,24,30,32
"No","Medio","LA LIBERTAD","Hombre","Conviviente","Sí",36,54,350,48
NA,"Medio","LA LIBERTAD","Hombre","Conviviente","No",27,70,NA,NA
"No","Medio","LA LIBERTAD","Mujer","Conviviente","No",25,42,200,48
"No","Medio bajo","LA LIBERTAD","Hombre","Casado/a","Sí",54,70,1000,0
NA,"Medio bajo","LA LIBERTAD","Mujer","Casado/a","Sí",49,48,NA,NA
NA,"Medio bajo","LA LIBERTAD","Mujer","Soltero/a","Sí",30,48,NA,NA
NA,"Medio bajo","LA LIBERTAD","Hombre","Soltero/a","No",33,0,NA,NA
"No","Medio bajo","LA LIBERTAD","Mujer","Soltero/a","Sí",26,49,350,0
"No","Medio bajo","LA LIBERTAD","Mujer","Separado","Sí",42,60,1000,312
NA,"Medio bajo","LA LIBERTAD","Hombre","Soltero/a","Sí",33,48,NA,NA
"No","Medio bajo","LA LIBERTAD","Mujer","Separado","Sí",42,66,400,0
"No","Medio bajo","LA LIBERTAD","Hombre","Soltero/a","Sí",21,0,200,48
"No","Medio bajo","LA LIBERTAD","Hombre","Conviviente","Sí",42,77,30,0
"No","Medio bajo","LA LIBERTAD","Mujer","Soltero/a","No",17,42,30,0
"No","Medio bajo","LA LIBERTAD","Hombre","Soltero/a","Sí",23,4,30,0
NA,"Medio bajo","LA LIBERTAD","Mujer","Separado","Sí",35,28,NA,NA
"No","Medio bajo","LA LIBERTAD","Hombre","Conviviente","Sí",20,21,30,0
NA,"Medio bajo","LA LIBERTAD","Hombre","Conviviente","Sí",34,88,NA,NA
"No","Medio bajo","LA LIBERTAD","Hombre","Casado/a","No",36,72,45,0
"Sí","Medio bajo","LA LIBERTAD","Mujer","Casado/a","No",32,42,600,90
"No","Bajo","LA LIBERTAD","Hombre","Conviviente","Sí",24,60,300,0
"No","Bajo","LA LIBERTAD","Hombre","Soltero/a","Sí",25,20,230,0
"No","Bajo","LA LIBERTAD","Hombre","Separado","Sí",27,70,900,155
"Sí","Bajo","LA LIBERTAD","Hombre","Conviviente","Sí",32,44,2500,400
"No","Bajo","LA LIBERTAD","Mujer","Conviviente","Sí",25,54,600,42
"No","Bajo","LA LIBERTAD","Hombre","Conviviente","Sí",30,54,250,0
"No","Bajo","LA LIBERTAD","Mujer","Conviviente","Sí",34,54,220,30
"No","Bajo","LA LIBERTAD","Hombre","Soltero/a","No",18,66,200,30
"No","Bajo","LA LIBERTAD","Mujer","Conviviente","Sí",27,56,25,17
"No","Bajo","LA LIBERTAD","Hombre","Conviviente","Sí",29,48,300,0
"No","Bajo","LA LIBERTAD","Mujer","Separado","Sí",35,70,500,0
"No","Bajo","LA LIBERTAD","Hombre","Soltero/a","No",23,60,222,0
NA,"Bajo","LA LIBERTAD","Mujer","Conviviente","Sí",40,27,NA,NA
"No","Bajo","LA LIBERTAD","Mujer","Soltero/a","No",20,30,450,0
"Sí","Bajo","LA LIBERTAD","Mujer","Separado","Sí",33,48,930,76
"No","Bajo","LA LIBERTAD","Hombre","Separado","Sí",59,48,350,0
"No","Bajo","LA LIBERTAD","Mujer","Separado","No",63,48,100,0
"No","Bajo","LA LIBERTAD","Mujer","Separado","Sí",46,71,930,0
"No","Bajo","LA LIBERTAD","Mujer","Soltero/a","No",24,54,40,0
NA,"Bajo","LA LIBERTAD","Hombre","Conviviente","Sí",25,98,NA,NA
"Sí","Bajo","LA LIBERTAD","Mujer","Separado","Sí",34,50,1000,0
"Sí","Bajo","LA LIBERTAD","Hombre","Conviviente","Sí",63,54,1400,0
NA,"Bajo","LA LIBERTAD","Mujer","Conviviente","Sí",53,84,NA,NA
"No","Bajo","LA LIBERTAD","Mujer","Soltero/a","Sí",20,84,1099,0
NA,"Medio bajo","LA LIBERTAD","Mujer","Conviviente","Sí",28,36,NA,NA
"No","Medio bajo","LA LIBERTAD","Hombre","Conviviente","Sí",24,66,320,48
"No","Medio bajo","LA LIBERTAD","Hombre","Conviviente","Sí",36,77,750,0
NA,"Medio bajo","LA LIBERTAD","Hombre","Conviviente","Sí",36,50,NA,NA
"No","Bajo","LA LIBERTAD","Hombre","Soltero/a","Sí",22,67,100,0
"No","Bajo","LA LIBERTAD","Hombre","Soltero/a","No",26,2,45,0
NA,"Bajo","LA LIBERTAD","Hombre","Conviviente","Sí",60,21,NA,NA
NA,"Bajo","LA LIBERTAD","Mujer","Conviviente","Sí",61,63,NA,NA
NA,"Bajo","LA LIBERTAD","Hombre","Casado/a","Sí",33,63,NA,NA
"No","Bajo","LA LIBERTAD","Hombre","Conviviente","Sí",31,60,350,40
NA,"Bajo","LA LIBERTAD","Hombre","Conviviente","Sí",55,50,NA,NA
"No","Bajo","LA LIBERTAD","Mujer","Conviviente","Sí",33,20,125,0
"No","Bajo","LA LIBERTAD","Mujer","Casado/a","Sí",49,75,140,47
"No","Bajo","LA LIBERTAD","Hombre","Casado/a","Sí",51,49,240,48
NA,"Bajo","LA LIBERTAD","Hombre","Conviviente","Sí",26,48,NA,NA
"No","Bajo","LA LIBERTAD","Mujer","Conviviente","No",22,48,450,0
"No","Bajo","LA LIBERTAD","Hombre","Casado/a","Sí",37,28,35,0
"No","Bajo","LA LIBERTAD","Mujer","Casado/a","Sí",35,48,400,72
"Sí","Bajo","LA LIBERTAD","Mujer","Conviviente","No",22,41,500,0
"No","Bajo","LA LIBERTAD","Hombre","Conviviente","No",27,48,465,0
"No","Bajo","LA LIBERTAD","Hombre","Conviviente","Sí",49,64,300,0
"No","Bajo","LA LIBERTAD","Mujer","Conviviente","No",49,24,360,96
"No","Bajo","LA LIBERTAD","Hombre","Soltero/a","Sí",30,49,850,0
NA,"Medio bajo","LA LIBERTAD","Hombre","Separado","Sí",49,56,NA,NA
NA,"Bajo","LA LIBERTAD","Mujer","Soltero/a","Sí",47,84,NA,NA
"No","Bajo","LA LIBERTAD","Mujer","Divorciado/a","Sí",64,72,200,0
"Sí","Bajo","LA LIBERTAD","Mujer","Conviviente","Sí",43,42,2500,0
"Sí","Bajo","LA LIBERTAD","Hombre","Conviviente","Sí",50,72,300,0
"No","Medio bajo","LA LIBERTAD","Hombre","Casado/a","Sí",34,90,80,0
"No","Medio bajo","LA LIBERTAD","Mujer","Casado/a","Sí",27,3,40,0
"No","Medio bajo","LA LIBERTAD","Hombre","Conviviente","Sí",25,72,40,0
NA,"Medio bajo","LA LIBERTAD","Hombre","Conviviente","Sí",43,20,NA,NA
NA,"Medio bajo","LA LIBERTAD","Mujer","Conviviente","Sí",52,35,NA,NA
"No","Medio bajo","LA LIBERTAD","Hombre","Conviviente","Sí",38,54,700,350
NA,"Medio bajo","LA LIBERTAD","Mujer","Conviviente","Sí",33,0,NA,NA
"No","Medio bajo","LA LIBERTAD","Hombre","Casado/a","Sí",26,36,120,0
"No","Medio bajo","LA LIBERTAD","Hombre","Casado/a","Sí",54,54,300,0
NA,"Medio bajo","LA LIBERTAD","Mujer","Casado/a","Sí",43,56,NA,NA
"No","Medio bajo","LA LIBERTAD","Hombre","Soltero/a","No",20,54,750,0
NA,"Medio bajo","LA LIBERTAD","Mujer","Conviviente","No",18,18,NA,NA
"No","Medio bajo","LA LIBERTAD","Hombre","Conviviente","Sí",26,50,490,0
NA,"Bajo","LA LIBERTAD","Hombre","Separado","Sí",41,70,NA,NA
NA,"Bajo","LA LIBERTAD","Hombre","Conviviente","No",27,60,NA,NA
NA,"Medio bajo","LA LIBERTAD","Hombre","Separado","Sí",50,112,NA,NA
"No","Medio bajo","LA LIBERTAD","Mujer","Separado","Sí",40,60,465,0
"No","Medio bajo","LA LIBERTAD","Mujer","Soltero/a","No",20,84,930,300
"Sí","Bajo","LA LIBERTAD","Mujer","Soltero/a","Sí",39,66,1098,0
"No","Bajo","LA LIBERTAD","Hombre","Casado/a","Sí",33,44,400,0
"No","Bajo","LA LIBERTAD","Hombre","Soltero/a","Sí",27,60,1200,240
NA,"Bajo","LA LIBERTAD","Hombre","Casado/a","Sí",32,34,NA,NA
"Sí","Bajo","LA LIBERTAD","Hombre","Conviviente","Sí",24,72,300,145
"No","Medio","LA LIBERTAD","Hombre","Soltero/a","Sí",37,44,360,0
"No","Medio","LA LIBERTAD","Hombre","Casado/a","Sí",35,59,350,42
NA,"Medio","LA LIBERTAD","Hombre","Conviviente","Sí",39,95,NA,NA
"No","Medio","LA LIBERTAD","Mujer","Separado","Sí",44,42,30,45
"No","Medio","LA LIBERTAD","Hombre","Separado","Sí",39,48,240,289
NA,"Medio","LA LIBERTAD","Hombre","Soltero/a","Sí",29,90,NA,NA
"No","Medio","LA LIBERTAD","Hombre","Soltero/a","Sí",24,71,1300,0
"No","Medio","LA LIBERTAD","Mujer","Divorciado/a","Sí",50,89,35,17
NA,"Medio","LA LIBERTAD","Mujer","Soltero/a","Sí",23,60,NA,NA
"No","Medio","LA LIBERTAD","Hombre","Soltero/a","No",22,78,600,87
"No","Medio","LA LIBERTAD","Mujer","Soltero/a","No",22,54,210,60
"Sí","Medio","LA LIBERTAD","Mujer","Separado","No",27,24,30,8
"No","Medio bajo","LA LIBERTAD","Hombre","Conviviente","Sí",41,50,330,35
NA,"Medio bajo","LA LIBERTAD","Mujer","Conviviente","Sí",38,37,NA,NA
NA,"Bajo","LA LIBERTAD","Mujer","Separado","Sí",51,42,NA,NA
"No","Bajo","LA LIBERTAD","Hombre","Soltero/a","No",17,47,400,50
"No","Bajo","LA LIBERTAD","Mujer","Soltero/a","Sí",41,48,300,0
"No","Bajo","LA LIBERTAD","Mujer","Conviviente","No",31,18,400,0
NA,"Bajo","LA LIBERTAD","Hombre","Conviviente","Sí",32,56,NA,NA
"No","Medio alto","LA LIBERTAD","Hombre","Conviviente","Sí",39,56,500,0
NA,"Medio alto","LA LIBERTAD","Mujer","Conviviente","Sí",35,0,NA,NA
"No","Medio alto","LA LIBERTAD","Hombre","Soltero/a","Sí",19,24,60,0
"No","Bajo","LA LIBERTAD","Hombre","Soltero/a","Sí",36,88,210,48
"No","Bajo","LA LIBERTAD","Hombre","Soltero/a","Sí",34,60,210,60
"No","Medio","LA LIBERTAD","Mujer","Conviviente","Sí",36,66,500,0
NA,"Medio","LA LIBERTAD","Hombre","Soltero/a","No",17,18,NA,NA
"No","Medio","LA LIBERTAD","Mujer","Separado","Sí",47,42,150,20
"No","Medio","LA LIBERTAD","Hombre","Soltero/a","Sí",26,61,350,100
"No","Medio","LA LIBERTAD","Hombre","Conviviente","Sí",30,61,350,100
"No","Medio bajo","LA LIBERTAD","Hombre","Conviviente","Sí",32,45,600,30
"No","Medio bajo","LA LIBERTAD","Mujer","Casado/a","Sí",39,54,217,60
"No","Medio bajo","LA LIBERTAD","Hombre","Casado/a","Sí",39,54,150,0
"No","Medio bajo","LA LIBERTAD","Hombre","Casado/a","Sí",37,50,230,0
"No","Medio bajo","LA LIBERTAD","Mujer","Casado/a","Sí",39,54,217,0
"No","Medio bajo","LA LIBERTAD","Hombre","Soltero/a","Sí",35,72,96,20
NA,"Medio bajo","LA LIBERTAD","Hombre","Soltero/a","Sí",33,87,NA,NA
"No","Medio bajo","LA LIBERTAD","Hombre","Separado","Sí",46,60,240,48
